Descriptor1,Item1,Descriptor2,Item2,Label
a,car,a,hen,yes
a,car,a,microscope,yes
a,car,a,watermelon,yes
a,car,a,motorbike,yes
a,car,a,dress,yes
a,car,a,shoe,yes
a,car,a,sheep,yes
a,car,a,chair,yes
a,car,a,sofa,yes
a,car,a,dog,yes
a,car,a,window,yes
a,donkey,an,apple,yes
a,donkey,a,butterfly,yes
a,donkey,an,eye,yes
a,donkey,a,bag,yes
a,donkey,a,hat,yes
a,donkey,a,bird,yes
a,donkey,a,face,yes
a,donkey,a,knife,yes
a,donkey,a,microscope,yes
a,donkey,a,shoe,yes
a,donkey,a,banana,yes
a,donkey,a,swan,yes
a,donkey,a,bottle,yes
a,donkey,a,clock,yes
a,donkey,a,watermelon,yes
a,horse,an,apple,yes
a,horse,a,butterfly,yes
a,horse,an,eye,yes
a,horse,a,bag,yes
a,horse,a,hat,yes
a,horse,a,bird,yes
a,horse,a,cat,yes
a,horse,a,banana,yes
a,horse,a,bottle,yes
a,horse,a,knife,yes
a,horse,a,face,yes
a,horse,a,door,yes
a,horse,wireless,headphones,yes
a,horse,a,shoe,yes
a,horse,a,watermelon,yes
a,horse,a,dress,yes
a,horse,a,human,yes
a,horse,a,dog,yes
a,horse,a,microscope,yes
a,motorbike,an,apple,yes
a,motorbike,a,butterfly,yes
a,motorbike,an,eye,yes
a,motorbike,a,bag,yes
a,motorbike,a,hat,yes
a,motorbike,a,bottle,yes
a,motorbike,a,knife,yes
a,motorbike,a,dress,yes
a,motorbike,a,banana,yes
a,motorbike,wireless,headphones,yes
a,motorbike,a,microscope,yes
a,motorbike,a,shoe,yes
a,swan,an,apple,yes
a,swan,a,butterfly,yes
a,swan,an,eye,yes
a,swan,a,bottle,yes
a,swan,a,knife,yes
a,swan,a,clock,yes
a,swan,a,shoe,yes
a,swan,a,banana,yes
a,chair,a,bag,yes
a,chair,an,apple,yes
a,chair,a,butterfly,yes
a,chair,an,eye,yes
a,chair,a,hat,yes
a,chair,a,bird,yes
a,chair,a,knife,yes
a,chair,a,microscope,yes
a,chair,a,shoe,yes
a,chair,a,banana,yes
a,cow,a,bag,yes
a,cow,an,apple,yes
a,cow,a,butterfly,yes
a,cow,an,eye,yes
a,cow,a,hat,yes
a,cow,a,bicycle,yes
a,cow,a,cat,yes
a,cow,a,banana,yes
a,cow,a,bird,yes
a,cow,a,bottle,yes
a,cow,a,knife,yes
a,cow,a,face,yes
a,cow,a,clock,yes
a,cow,wireless,headphones,yes
a,cow,a,hen,yes
a,cow,a,microscope,yes
a,cow,a,watermelon,yes
a,cow,a,dog,yes
a,cow,a,shoe,yes
a,cow,a,human,yes
a,cow,a,sheep,yes
a,cow,a,chair,yes
a,bus,a,banana,yes
a,bus,a,bird,yes
a,bus,an,apple,yes
a,bus,a,butterfly,yes
a,bus,an,eye,yes
a,bus,a,car,yes
a,bus,a,bag,yes
a,bus,a,hat,yes
a,bus,a,bicycle,yes
a,bus,a,cat,yes
a,bus,a,bottle,yes
a,bus,a,knife,yes
a,bus,a,face,yes
a,bus,a,clock,yes
a,bus,wireless,headphones,yes
a,bus,a,hen,yes
a,bus,a,microscope,yes
a,bus,a,watermelon,yes
a,bus,a,motorbike,yes
a,bus,a,dress,yes
a,bus,a,shoe,yes
a,bus,a,sheep,yes
a,bus,a,chair,yes
a,bus,a,sofa,yes
a,bus,a,dog,yes
a,bus,a,window,yes
a,bus,a,cow,yes
a,bus,a,human,yes
a,bus,a,dolphin,yes
a,bus,a,donkey,yes
a,bus,a,swan,yes
a,bus,a,giraffe,yes
a,bus,a,boat,yes
a,bus,a,door,yes
a,bus,a,horse,yes
a,door,a,banana,yes
a,door,a,bottle,yes
a,door,an,eye,yes
a,door,a,knife,yes
a,door,a,butterfly,yes
a,door,a,face,yes
a,door,wireless,headphones,yes
a,door,a,shoe,yes
a,door,a,watermelon,yes
a,giraffe,a,banana,yes
a,giraffe,a,bicycle,yes
a,giraffe,a,butterfly,yes
a,giraffe,an,eye,yes
a,giraffe,a,cat,yes
a,giraffe,an,apple,yes
a,giraffe,a,bird,yes
a,giraffe,a,bottle,yes
a,giraffe,a,knife,yes
a,giraffe,a,face,yes
a,giraffe,a,clock,yes
a,giraffe,wireless,headphones,yes
a,giraffe,a,hen,yes
a,giraffe,a,microscope,yes
a,giraffe,a,watermelon,yes
a,giraffe,a,boat,yes
a,giraffe,a,chair,yes
a,giraffe,a,bag,yes
a,giraffe,a,hat,yes
a,giraffe,a,shoe,yes
a,giraffe,a,dog,yes
a,giraffe,a,human,yes
a,giraffe,a,door,yes
a,giraffe,a,motorbike,yes
a,giraffe,a,dress,yes
a,giraffe,a,swan,yes
a,giraffe,a,window,yes
a,house,a,banana,yes
a,house,a,chair,yes
a,house,a,bag,yes
a,house,an,apple,yes
a,house,a,butterfly,yes
a,house,an,eye,yes
a,house,a,hat,yes
a,house,a,bird,yes
a,house,a,knife,yes
a,house,a,microscope,yes
a,house,a,shoe,yes
a,house,a,clock,yes
a,house,a,cow,yes
a,house,a,bicycle,yes
a,house,a,cat,yes
a,house,a,bottle,yes
a,house,a,face,yes
a,house,wireless,headphones,yes
a,house,a,hen,yes
a,house,a,watermelon,yes
a,house,a,dog,yes
a,house,a,human,yes
a,house,a,sheep,yes
a,house,a,donkey,yes
a,house,a,swan,yes
a,house,a,door,yes
a,house,a,motorbike,yes
a,house,a,dress,yes
a,house,a,sofa,yes
a,house,a,window,yes
a,sheep,a,banana,yes
a,sheep,a,chair,yes
a,sheep,a,bag,yes
a,sheep,an,apple,yes
a,sheep,a,butterfly,yes
a,sheep,an,eye,yes
a,sheep,a,hat,yes
a,sheep,a,bird,yes
a,sheep,a,knife,yes
a,sheep,a,microscope,yes
a,sheep,a,shoe,yes
a,sheep,a,face,yes
a,sheep,wireless,headphones,yes
a,sheep,a,hen,yes
a,sheep,a,watermelon,yes
a,window,a,banana,yes
a,window,a,butterfly,yes
a,window,an,eye,yes
a,window,wireless,headphones,yes
a,window,a,shoe,yes
a,window,a,watermelon,yes
a,knife,a,butterfly,yes
a,knife,an,eye,yes
an,elephant,a,bird,yes
an,elephant,an,apple,yes
an,elephant,a,butterfly,yes
an,elephant,an,eye,yes
an,elephant,a,boat,yes
an,elephant,a,bicycle,yes
an,elephant,a,cat,yes
an,elephant,a,banana,yes
an,elephant,a,bottle,yes
an,elephant,a,knife,yes
an,elephant,a,face,yes
an,elephant,a,clock,yes
an,elephant,wireless,headphones,yes
an,elephant,a,hen,yes
an,elephant,a,microscope,yes
an,elephant,a,watermelon,yes
an,elephant,a,chair,yes
an,elephant,a,bag,yes
an,elephant,a,hat,yes
an,elephant,a,shoe,yes
an,elephant,a,dog,yes
an,elephant,a,human,yes
an,elephant,a,cow,yes
an,elephant,a,sheep,yes
an,elephant,a,dolphin,yes
an,elephant,a,dress,yes
an,elephant,a,door,yes
an,elephant,a,horse,yes
an,elephant,a,sofa,yes
an,elephant,a,window,yes
an,elephant,a,swan,yes
